id,CPU Usage,Memory Usage,Running Time,Prediction
0,23.18,27.272,55.77610974,1
1,23.15,27.2675,55.52524269,1
2,23.15,27.245,55.42073017,1
3,23.15,27.2,55.21170909,1
4,23.1,27.2,54.83028325,1
5,23.1,27.2,54.83028325,1
6,23.1,27.2,54.83028325,1
7,23.1,27.2,54.83028325,1
8,23.1,27.2,54.83028325,1
9,23.075,27.175,54.52436744,1
10,23.075,27.15,54.40878208,1
11,23.1,27.1,54.36723467,1
12,23.1,27.16666667,54.67593083,1
13,23.05,27.15,54.21906363,1
14,23,27.125,53.72533868,1
15,23,27.125,53.72533868,1
16,23,27.2,54.07050071,0
17,22.945,27.29,54.06717469,0
18,22.945,27.39,54.525883,0
19,22.89,27.39,54.10802887,0
20,22.89,27.39,54.10802887,0
21,22.89,27.39,54.10802887,0
22,22.89,27.445,54.35947746,0
23,22.89,27.5,54.61093372,0
24,22.89,27.5,54.61093372,0
25,22.79,27.445,53.60136388,0
26,22.79,27.5,53.85127775,0
27,22.79,27.5,53.85127775,0
28,22.79,27.5,53.85127775,0
29,22.745,27.5,53.51076567,0
30,22.7,27.46333333,53.00538914,0
31,22.7,27.5,53.17107859,0
32,22.7,27.5,53.17107859,0
33,22.66666667,27.42666667,52.58929348,0
34,22.7,27.6,53.62297587,0
35,22.6,27.42666667,52.08982306,0
36,22.6,27.39,51.92515781,0
37,22.6,27.35666667,51.77546499,0
38,22.6,27.445,52.17215692,0
39,22.6,27.42666667,52.08982306,0
40,22.6,27.445,52.17215692,0
41,22.6,27.445,52.17215692,0
42,22.6,27.39,51.92515781,0
43,22.5,27.32333333,50.88278225,0
44,22.5,27.445,51.42580647,0
45,22.5,27.5,51.67129492,0
46,22.5,27.445,51.42580647,0
47,22.39,27.29,49.92234944,0
48,22.5,27.5,51.67129492,0
49,22.39,27.34,50.14399263,0
50,22.39,27.35666667,50.21787501,0
51,22.39,27.5,50.85329093,0
52,22.39,27.5,50.85329093,0
53,22.39,27.5,50.85329093,0
54,22.39,27.39,50.36564178,0
55,22.39,27.5,50.85329093,0
56,22.34,27.39,49.99692882,0
57,22.39,27.46333333,50.69073801,0
58,22.39,27.39,50.36564178,0
59,22.29,27.39,49.62921117,0
60,22.34,27.39,49.99692882,0
61,22.29,27.39,49.62921117,0
62,22.39,27.39,50.36564178,0
63,22.29,27.39,49.62921117,0
64,22.29,27.35666667,49.4823538,0
65,22.29,27.34,49.40892609,0
66,22.29,27.39,49.62921117,0
67,22.29,27.34,49.40892609,0
68,22.29,27.34,49.40892609,0
69,22.29,27.39,49.62921117,0
70,22.29,27.29,49.1886469,0
71,22.29,27.29,49.1886469,0
72,22.2675,27.315,49.13409575,0
73,22.2,27.29,48.53169842,0
74,22.245,27.29,48.85977285,0
75,22.2,27.29,48.53169842,0
76,22.2,27.29,48.53169842,0
77,22.2,27.29,48.53169842,0
78,22.245,27.245,48.66207682,0
79,22.2,27.2,48.13740875,0
80,22.2,27.29,48.53169842,0
81,22.2,27.29,48.53169842,0
82,22.2,27.29,48.53169842,0
83,22.15,27.245,47.97156809,0
84,22.2,27.2,48.13740875,0
85,22.15,27.245,47.97156809,0
86,22.2,27.245,48.33455123,0
87,22.1,27.245,47.60956608,0
88,22.1,27.2,47.41363833,0
89,22.13333333,27.2,47.65445993,0
90,22.2,27.2,48.13740875,0
91,22.1,27.2,47.41363833,0
92,22.125,27.2,47.59421378,0
93,22.2,27.2,48.13740875,0
94,22.1,27.15,47.1959463,0
95,22.1,27.2,47.41363833,0
96,22.1,27.2,47.41363833,0
97,22.1,27.2,47.41363833,0
98,22.1,27.2,47.41363833,0
99,22.1,27.2,47.41363833,0
100,22.1,27.2,47.41363833,0
101,22.1,27.2,47.41363833,0
102,22.1,27.2,47.41363833,0
103,22.1,27.15,47.1959463,0
104,22.06666667,27.16666667,47.02842119,0
105,22.1,27.1,46.97826002,0
106,22,27.1,46.26108268,0
107,22,27.1,46.26108268,0
108,22.05,27.15,46.83620003,0
109,22,27.1,46.26108268,0
110,22,27.1,46.26108268,0
111,22,27.1,46.26108268,0
112,22,27.1,46.26108268,0
113,21.9175,27.1,45.67232984,0
114,21.945,27.1,45.86828831,0
115,21.92666667,27.1,45.73761687,0
116,21.89,27.1,45.47666334,0
117,21.89,27.1,45.47666334,0
118,21.89,27.1,45.47666334,0
119,21.89,27.1,45.47666334,0
120,21.89,27.1,45.47666334,0
121,21.89,27.1,45.47666334,0
122,21.89,27.1,45.47666334,0
123,21.89,27.1,45.47666334,0
124,21.89,27.1,45.47666334,0
125,21.84,27.1,45.12165285,0
126,21.85666667,27.1,45.23988271,0
127,21.79,27.1,44.76760405,0
128,21.79,27.1,44.76760405,0
129,21.79,27.1,44.76760405,0
130,21.79,27.1,44.76760405,0
131,21.79,27.1,44.76760405,0
132,21.79,27.1,44.76760405,0
133,21.79,27.1,44.76760405,0
134,21.79,27.1,44.76760405,0
135,21.745,27.1,44.44978051,0
136,21.7,27.1,44.13273248,0
137,21.76,27.1,44.55563544,0
138,21.745,27.05,44.23683111,0
139,21.79,27.05,44.55406004,0
140,21.73,27,43.9185142,0
141,21.745,27,44.02388723,0
142,21.745,27,44.02388723,0
143,21.745,27,44.02388723,0
144,21.7,27,43.70802544,0
145,21.7,27,43.70802544,0
146,21.7,27,43.70802544,0
147,21.7,26.89,43.24087301,0
148,21.7,26.89,43.24087301,0
149,21.7,26.89,43.24087301,0
