MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: -15
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 720 | speed: -75
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: 15
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 360 | speed: 75
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: -15
Motor.Rotations brake: 1 | port_motor: C | rotations: 2 | speed: 70
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 360 | speed: -75
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: 15
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 720 | speed: 75
Motor.Rotations brake: 1 | port_motor: C | rotations: 1.5 | speed: 70
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: -15
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 180 | speed: -75
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: 15
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 180 | speed: -75
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: -15
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 360 | speed: -75
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: 15
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 720 | speed: 75
Motor.Rotations brake: 1 | port_motor: C | rotations: 1.5 | speed: 70
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 360 | speed: -75
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: -15
Motor.Rotations brake: 1 | port_motor: C | rotations: 1.5 | speed: 70
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: 15
Motor.Rotations brake: 1 | port_motor: C | rotations: 1 | speed: -70
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 90 | speed: 75
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: -15
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 450 | speed: -75
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: 15
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 720 | speed: 75
Motor.Rotations brake: 1 | port_motor: C | rotations: 4 | speed: 70
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 360 | speed: -75
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: -15
Motor.Rotations brake: 1 | port_motor: C | rotations: 2 | speed: -70
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 360 | speed: -75
Motor.Rotations brake: 1 | port_motor: C | rotations: 2 | speed: 70
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: 15
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 720 | speed: 75
Motor.Rotations brake: 1 | port_motor: C | rotations: 3.5 | speed: 70
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 360 | speed: -75
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: -15
Motor.Rotations brake: 1 | port_motor: C | rotations: 2 | speed: -70
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 360 | speed: -75
Motor.Rotations brake: 1 | port_motor: C | rotations: 2 | speed: 70
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 420 | speed: 75
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: 15
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 300 | speed: 75
Motor.Rotations brake: 1 | port_motor: C | rotations: 1.5 | speed: 70
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 320 | speed: -75
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: -15
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 400 | speed: -75
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 420 | speed: 75
Motor.Rotations brake: 1 | port_motor: C | rotations: 2 | speed: 60
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 120 | speed: 15
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 480 | speed: -75
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: 15
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 660 | speed: 75
Motor.Rotations brake: 1 | port_motor: C | rotations: 2 | speed: 70
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: -15
Motor.Rotations brake: 1 | port_motor: C | rotations: 0.5 | speed: -70
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 300 | speed: -75
Motor.Rotations brake: 1 | port_motor: C | rotations: 0.3 | speed: -90
Motor.Rotations brake: 1 | port_motor: C | rotations: 0.3 | speed: 90
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 120 | speed: -75
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 300 | speed: -75
Motor.Rotations brake: 1 | port_motor: C | rotations: 0.5 | speed: 70
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: 15
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 720 | speed: 75
Motor.Rotations brake: 1 | port_motor: C | rotations: 1.5 | speed: 70
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 360 | speed: -75
MediumMotor.Degrees brake: 0 | port_motor: B | rotations: 35 | speed: -15
Motor.Rotations brake: 1 | port_motor: C | rotations: 2.2 | speed: 35
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 360 | speed: -75
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 360 | speed: 75
MediumMotor.Degrees brake: 0 | port_motor: A | rotations: 360 | speed: -75
